datetime,symbol,direction,offset,volume,price
2022-12-21 00:50:00,FILUSDT.BYBIT,多,开,135.1,3.05
2022-12-21 00:50:00,FILUSDT.BYBIT,空,开,135.1,3.05
2022-12-21 02:30:00,FILUSDT.BYBIT,空,开,2.1,3.003
2022-12-21 04:25:00,FILUSDT.BYBIT,多,开,276.8,2.977
2022-12-21 04:40:00,FILUSDT.BYBIT,空,开,1.6,2.968
2022-12-21 05:30:00,FILUSDT.BYBIT,空,开,1.5,2.937
2022-12-21 21:50:00,FILUSDT.BYBIT,空,开,1.4,2.907
2022-12-22 05:40:00,FILUSDT.BYBIT,空,开,277.5,2.97
2022-12-22 23:15:00,FILUSDT.BYBIT,多,平,277.9,2.916
2022-12-23 06:20:00,FILUSDT.BYBIT,空,开,276.3,2.982
2022-12-25 07:10:00,FILUSDT.BYBIT,多,平,276.4,2.918
2022-12-26 10:20:00,FILUSDT.BYBIT,空,开,276.7,2.978
2022-12-27 18:45:00,FILUSDT.BYBIT,空,平,284.3,3.229
2022-12-27 18:45:00,FILUSDT.BYBIT,空,开,510.4,3.229
2022-12-27 20:20:00,FILUSDT.BYBIT,多,开,261.0,3.157
2022-12-28 02:10:00,FILUSDT.BYBIT,多,平,793.7,3.062
2022-12-28 05:20:00,FILUSDT.BYBIT,多,开,543.7,3.031
2022-12-28 05:20:00,FILUSDT.BYBIT,空,开,1.3,3.031
2022-12-28 14:10:00,FILUSDT.BYBIT,空,开,3.6,2.954
2022-12-29 03:30:00,FILUSDT.BYBIT,空,开,273.5,3.013
2022-12-30 05:10:00,FILUSDT.BYBIT,多,平,273.2,2.948
2022-12-31 22:35:00,FILUSDT.BYBIT,空,开,273.6,3.011
2023-01-02 04:15:00,FILUSDT.BYBIT,空,平,800.7,3.13
2023-01-02 04:15:00,FILUSDT.BYBIT,空,开,526.5,3.13
2023-01-02 09:30:00,FILUSDT.BYBIT,多,开,268.7,3.067
2023-01-02 16:35:00,FILUSDT.BYBIT,空,平,269.5,3.151
2023-01-02 20:50:00,FILUSDT.BYBIT,空,平,1.6,3.189
2023-01-03 23:55:00,FILUSDT.BYBIT,多,开,263.8,3.124
2023-01-04 03:45:00,FILUSDT.BYBIT,多,平,804.2,3.036
2023-01-04 08:50:00,FILUSDT.BYBIT,空,开,266.0,3.098
2023-01-04 11:40:00,FILUSDT.BYBIT,空,平,264.2,3.199
2023-01-04 11:50:00,FILUSDT.BYBIT,空,开,514.8,3.201
2023-01-04 13:00:00,FILUSDT.BYBIT,空,平,5.2,3.332
2023-01-04 18:05:00,FILUSDT.BYBIT,多,开,252.7,3.262
2023-01-05 03:00:00,FILUSDT.BYBIT,空,平,254.0,3.37
2023-01-05 15:35:00,FILUSDT.BYBIT,多,开,249.8,3.298
2023-01-07 10:30:00,FILUSDT.BYBIT,空,平,249.3,3.356
2023-01-08 06:10:00,FILUSDT.BYBIT,多,开,250.6,3.288
2023-01-08 10:15:00,FILUSDT.BYBIT,空,平,250.4,3.349
2023-01-08 14:00:00,FILUSDT.BYBIT,空,平,2.0,3.406
2023-01-08 14:00:00,FILUSDT.BYBIT,空,开,967.7,3.406
2023-01-09 08:30:00,FILUSDT.BYBIT,空,平,1.3,3.441
2023-01-09 09:35:00,FILUSDT.BYBIT,空,平,1.7,3.492
2023-01-09 10:15:00,FILUSDT.BYBIT,空,平,2.0,3.552
2023-01-09 10:15:00,FILUSDT.BYBIT,空,开,1855.9,3.552
2023-01-09 18:00:00,FILUSDT.BYBIT,空,平,1.6,3.601
2023-01-09 19:00:00,FILUSDT.BYBIT,空,平,3.2,3.706
2023-01-09 19:00:00,FILUSDT.BYBIT,空,开,3557.5,3.706
2023-01-09 19:30:00,FILUSDT.BYBIT,空,平,2.3,3.784
2023-01-09 21:45:00,FILUSDT.BYBIT,空,平,1.2,3.826
2023-01-09 23:10:00,FILUSDT.BYBIT,空,开,6838.1,3.856
2023-01-09 23:25:00,FILUSDT.BYBIT,空,平,1.2,3.868
2023-01-10 05:00:00,FILUSDT.BYBIT,多,开,217.9,3.782
2023-01-10 06:15:00,FILUSDT.BYBIT,空,平,217.5,3.853
2023-01-10 11:10:00,FILUSDT.BYBIT,多,开,222.0,3.713
2023-01-11 22:30:00,FILUSDT.BYBIT,多,平,9895.0,3.631
2023-01-12 00:20:00,FILUSDT.BYBIT,多,开,461.6,3.57
2023-01-12 00:20:00,FILUSDT.BYBIT,多,平,4125.3,3.57
2023-01-12 08:15:00,FILUSDT.BYBIT,空,平,679.7,3.718
2023-01-12 08:15:00,FILUSDT.BYBIT,空,开,221.6,3.718
2023-01-12 09:15:00,FILUSDT.BYBIT,空,平,1.2,3.759
2023-01-12 12:00:00,FILUSDT.BYBIT,空,平,1.1,3.797
2023-01-12 21:35:00,FILUSDT.BYBIT,多,开,221.7,3.717
2023-01-13 01:25:00,FILUSDT.BYBIT,空,平,221.3,3.782
2023-01-13 02:20:00,FILUSDT.BYBIT,空,开,431.9,3.816
2023-01-13 03:50:00,FILUSDT.BYBIT,空,平,1.8,3.848
2023-01-13 21:35:00,FILUSDT.BYBIT,多,开,218.5,3.77
2023-01-14 06:30:00,FILUSDT.BYBIT,空,平,222.8,4.008
2023-01-14 09:25:00,FILUSDT.BYBIT,空,平,7.1,4.304
2023-01-14 09:25:00,FILUSDT.BYBIT,空,开,765.8,4.304
2023-01-14 09:45:00,FILUSDT.BYBIT,空,平,0.9,4.348
2023-01-14 10:15:00,FILUSDT.BYBIT,空,平,1.4,4.409
2023-01-14 10:15:00,FILUSDT.BYBIT,空,开,1495.1,4.409
2023-01-14 16:50:00,FILUSDT.BYBIT,空,平,1.1,4.464
2023-01-14 17:55:00,FILUSDT.BYBIT,多,开,197.5,4.171
2023-01-14 17:55:00,FILUSDT.BYBIT,多,平,2931.0,4.171
2023-01-14 23:45:00,FILUSDT.BYBIT,空,开,193.3,4.263
2023-01-15 05:50:00,FILUSDT.BYBIT,空,平,194.3,4.314
2023-01-15 07:50:00,FILUSDT.BYBIT,空,平,9.1,4.768
2023-01-15 07:50:00,FILUSDT.BYBIT,空,开,345.6,4.768
2023-01-15 09:10:00,FILUSDT.BYBIT,多,开,176.8,4.66
2023-01-15 17:10:00,FILUSDT.BYBIT,多,开,365.8,4.506
2023-01-15 20:15:00,FILUSDT.BYBIT,空,平,540.7,4.666
2023-01-15 23:50:00,FILUSDT.BYBIT,空,平,4.6,4.923
2023-01-15 23:50:00,FILUSDT.BYBIT,空,开,669.5,4.923
2023-01-16 01:15:00,FILUSDT.BYBIT,多,开,172.1,4.788
2023-01-16 16:45:00,FILUSDT.BYBIT,多,开,357.5,4.609
2023-01-16 16:45:00,FILUSDT.BYBIT,多,平,1217.8,4.609
