datetime,symbol,direction,offset,volume,price
2022-12-21 00:50:00,LINKUSDT.BYBIT,多,开,68.2,6.037
2022-12-21 00:50:00,LINKUSDT.BYBIT,空,开,68.2,6.037
2022-12-21 02:30:00,LINKUSDT.BYBIT,空,开,0.9,5.964
2022-12-22 01:50:00,LINKUSDT.BYBIT,多,开,139.7,5.899
2022-12-22 01:50:00,LINKUSDT.BYBIT,空,开,0.7,5.899
2022-12-22 17:45:00,LINKUSDT.BYBIT,空,平,139.4,6.014
2022-12-23 01:55:00,LINKUSDT.BYBIT,多,开,140.0,5.884
2022-12-23 06:40:00,LINKUSDT.BYBIT,空,平,139.9,6.003
2022-12-23 11:25:00,LINKUSDT.BYBIT,空,开,136.7,6.029
2022-12-24 15:10:00,LINKUSDT.BYBIT,多,平,136.8,5.911
2022-12-27 08:00:00,LINKUSDT.BYBIT,空,开,136.6,6.032
2022-12-28 00:25:00,LINKUSDT.BYBIT,多,平,136.8,5.926
2022-12-28 02:25:00,LINKUSDT.BYBIT,多,开,140.2,5.878
2022-12-28 09:30:00,LINKUSDT.BYBIT,空,开,0.8,5.861
2022-12-28 11:35:00,LINKUSDT.BYBIT,空,开,0.8,5.795
2022-12-28 14:10:00,LINKUSDT.BYBIT,空,开,0.8,5.73
2022-12-29 06:05:00,LINKUSDT.BYBIT,多,开,290.9,5.665
2022-12-29 06:05:00,LINKUSDT.BYBIT,空,开,0.8,5.665
2022-12-29 10:30:00,LINKUSDT.BYBIT,空,开,0.8,5.604
2022-12-30 05:40:00,LINKUSDT.BYBIT,空,开,0.8,5.542
2022-12-30 16:00:00,LINKUSDT.BYBIT,空,开,1.2,5.46
2022-12-31 20:00:00,LINKUSDT.BYBIT,空,开,147.8,5.572
2023-01-04 11:45:00,LINKUSDT.BYBIT,空,开,285.7,5.769
2023-01-06 14:00:00,LINKUSDT.BYBIT,多,平,435.5,5.606
2023-01-07 10:20:00,LINKUSDT.BYBIT,空,开,142.5,5.784
2023-01-08 14:15:00,LINKUSDT.BYBIT,空,平,429.3,5.85
2023-01-09 07:50:00,LINKUSDT.BYBIT,空,平,0.7,5.912
2023-01-09 09:10:00,LINKUSDT.BYBIT,空,平,1.0,5.996
2023-01-09 09:10:00,LINKUSDT.BYBIT,空,开,274.8,5.996
2023-01-09 10:00:00,LINKUSDT.BYBIT,空,平,0.7,6.058
2023-01-09 13:45:00,LINKUSDT.BYBIT,空,平,0.7,6.119
2023-01-09 17:50:00,LINKUSDT.BYBIT,空,平,0.7,6.185
2023-01-10 04:45:00,LINKUSDT.BYBIT,多,开,136.2,6.05
2023-01-11 02:40:00,LINKUSDT.BYBIT,空,平,136.3,6.194
2023-01-11 22:25:00,LINKUSDT.BYBIT,多,开,135.9,6.064
2023-01-12 07:10:00,LINKUSDT.BYBIT,空,平,135.8,6.182
2023-01-12 08:45:00,LINKUSDT.BYBIT,空,平,1.3,6.306
2023-01-12 12:50:00,LINKUSDT.BYBIT,空,开,518.3,6.359
2023-01-13 03:55:00,LINKUSDT.BYBIT,空,平,0.6,6.369
2023-01-14 06:15:00,LINKUSDT.BYBIT,空,平,2.0,6.569
2023-01-14 09:25:00,LINKUSDT.BYBIT,空,平,1.8,6.763
2023-01-14 09:25:00,LINKUSDT.BYBIT,空,开,974.7,6.763
2023-01-14 10:15:00,LINKUSDT.BYBIT,空,平,0.9,6.872
2023-01-14 15:10:00,LINKUSDT.BYBIT,空,平,0.9,6.971
2023-01-14 15:10:00,LINKUSDT.BYBIT,空,开,1891.3,6.971
2023-01-14 16:50:00,LINKUSDT.BYBIT,空,平,0.9,7.073
2023-01-14 17:55:00,LINKUSDT.BYBIT,多,开,123.1,6.695
2023-01-16 14:15:00,LINKUSDT.BYBIT,空,平,121.6,6.903
2023-01-16 16:50:00,LINKUSDT.BYBIT,多,开,124.4,6.622
2023-01-16 16:50:00,LINKUSDT.BYBIT,多,平,3812.9,6.622
2023-01-16 23:20:00,LINKUSDT.BYBIT,空,开,0.8,6.537
2023-01-17 03:40:00,LINKUSDT.BYBIT,空,开,121.9,6.763
2023-01-17 23:35:00,LINKUSDT.BYBIT,空,平,123.4,6.792
2023-01-18 04:30:00,LINKUSDT.BYBIT,空,平,1.0,6.906
2023-01-18 11:20:00,LINKUSDT.BYBIT,空,开,236.8,6.957
2023-01-18 17:30:00,LINKUSDT.BYBIT,多,平,360.8,6.769
2023-01-18 17:55:00,LINKUSDT.BYBIT,多,开,121.8,6.762
2023-01-18 22:30:00,LINKUSDT.BYBIT,空,平,121.6,6.879
2023-01-19 00:55:00,LINKUSDT.BYBIT,多,开,128.5,6.41
2023-01-19 00:55:00,LINKUSDT.BYBIT,空,开,3.4,6.41
2023-01-21 01:25:00,LINKUSDT.BYBIT,空,开,124.7,6.607
2023-01-21 03:05:00,LINKUSDT.BYBIT,空,平,126.3,6.631
2023-01-21 05:10:00,LINKUSDT.BYBIT,空,平,1.8,6.837
2023-01-21 05:10:00,LINKUSDT.BYBIT,空,开,241.0,6.837
2023-01-21 07:05:00,LINKUSDT.BYBIT,空,平,0.7,6.909
2023-01-21 10:35:00,LINKUSDT.BYBIT,空,平,1.0,7.028
2023-01-22 08:05:00,LINKUSDT.BYBIT,多,开,119.7,6.883
