datetime,symbol,direction,offset,volume,price
2022-12-21 00:50:00,LTCUSDT.BYBIT,多,开,6.3,65.17
2022-12-21 00:50:00,LTCUSDT.BYBIT,空,开,6.3,65.17
2022-12-21 10:45:00,LTCUSDT.BYBIT,空,平,0.1,66.44
2022-12-21 12:45:00,LTCUSDT.BYBIT,多,开,12.7,65.0
2022-12-22 16:35:00,LTCUSDT.BYBIT,空,平,12.7,66.33
2022-12-23 00:15:00,LTCUSDT.BYBIT,多,开,12.7,64.7
2022-12-23 02:05:00,LTCUSDT.BYBIT,空,开,0.1,64.47
2022-12-23 06:40:00,LTCUSDT.BYBIT,空,开,12.5,65.78
2022-12-23 07:30:00,LTCUSDT.BYBIT,空,平,12.7,65.93
2022-12-26 07:00:00,LTCUSDT.BYBIT,空,平,0.2,68.55
2022-12-26 07:00:00,LTCUSDT.BYBIT,空,开,24.1,68.55
2022-12-26 19:15:00,LTCUSDT.BYBIT,空,平,0.2,70.46
2022-12-28 02:25:00,LTCUSDT.BYBIT,多,开,12.0,68.88
2022-12-29 06:50:00,LTCUSDT.BYBIT,多,开,25.0,66.04
2022-12-29 06:50:00,LTCUSDT.BYBIT,多,平,36.8,66.04
2022-12-31 00:10:00,LTCUSDT.BYBIT,空,开,12.2,67.64
2022-12-31 05:15:00,LTCUSDT.BYBIT,空,平,36.8,68.13
2022-12-31 22:15:00,LTCUSDT.BYBIT,空,平,0.2,70.53
2022-12-31 22:15:00,LTCUSDT.BYBIT,空,开,23.4,70.53
2023-01-02 16:55:00,LTCUSDT.BYBIT,空,平,0.3,75.43
2023-01-02 16:55:00,LTCUSDT.BYBIT,空,开,43.7,75.43
2023-01-04 09:40:00,LTCUSDT.BYBIT,空,平,0.1,76.28
2023-01-04 11:20:00,LTCUSDT.BYBIT,空,平,0.1,77.06
2023-01-05 03:55:00,LTCUSDT.BYBIT,多,开,11.0,75.13
2023-01-09 09:25:00,LTCUSDT.BYBIT,空,平,11.2,80.88
2023-01-09 09:25:00,LTCUSDT.BYBIT,空,开,81.5,80.88
2023-01-09 10:20:00,LTCUSDT.BYBIT,空,平,0.1,81.94
