datetime,symbol,direction,offset,volume,price
2022-12-21 00:50:00,MATICUSDT.BYBIT,多,开,518.0,0.7961
2022-12-21 00:50:00,MATICUSDT.BYBIT,空,开,518.0,0.7961
2022-12-22 04:35:00,MATICUSDT.BYBIT,空,开,5.0,0.7875
2022-12-22 23:15:00,MATICUSDT.BYBIT,多,开,1058.0,0.7787
2022-12-22 23:15:00,MATICUSDT.BYBIT,空,开,6.0,0.7787
2022-12-23 05:05:00,MATICUSDT.BYBIT,空,平,1056.0,0.7924
2022-12-23 06:20:00,MATICUSDT.BYBIT,空,开,1036.0,0.7955
2022-12-23 11:30:00,MATICUSDT.BYBIT,空,平,7.0,0.8033
2022-12-27 07:45:00,MATICUSDT.BYBIT,空,平,6.0,0.8125
2022-12-28 11:45:00,MATICUSDT.BYBIT,多,开,1039.0,0.7931
2022-12-28 14:15:00,MATICUSDT.BYBIT,多,平,1038.0,0.7816
2022-12-30 05:00:00,MATICUSDT.BYBIT,空,开,6.0,0.7734
2022-12-30 12:55:00,MATICUSDT.BYBIT,多,开,2154.0,0.7652
2022-12-30 12:55:00,MATICUSDT.BYBIT,空,开,5.0,0.7652
2022-12-30 16:05:00,MATICUSDT.BYBIT,空,开,9.0,0.7528
2022-12-31 22:45:00,MATICUSDT.BYBIT,空,开,1072.0,0.7691
2023-01-01 09:20:00,MATICUSDT.BYBIT,多,平,1070.0,0.7505
2023-01-02 16:45:00,MATICUSDT.BYBIT,空,开,1059.0,0.7782
2023-01-04 11:25:00,MATICUSDT.BYBIT,空,平,3187.0,0.8029
2023-01-04 11:25:00,MATICUSDT.BYBIT,空,开,2052.0,0.8029
2023-01-05 02:55:00,MATICUSDT.BYBIT,空,平,5.0,0.8114
2023-01-05 22:05:00,MATICUSDT.BYBIT,多,开,1037.0,0.7945
2023-01-06 14:05:00,MATICUSDT.BYBIT,多,平,3132.0,0.78
2023-01-07 04:05:00,MATICUSDT.BYBIT,空,开,1035.0,0.7961
2023-01-07 10:45:00,MATICUSDT.BYBIT,空,平,1036.0,0.8089
2023-01-09 05:35:00,MATICUSDT.BYBIT,空,平,7.0,0.8206
2023-01-09 07:50:00,MATICUSDT.BYBIT,空,平,10.0,0.838
2023-01-09 07:50:00,MATICUSDT.BYBIT,空,开,1967.0,0.838
2023-01-09 10:00:00,MATICUSDT.BYBIT,空,平,5.0,0.8465
2023-01-09 10:45:00,MATICUSDT.BYBIT,空,平,6.0,0.8565
2023-01-10 00:15:00,MATICUSDT.BYBIT,空,平,6.0,0.8665
2023-01-10 04:55:00,MATICUSDT.BYBIT,多,开,979.0,0.8424
2023-01-11 09:20:00,MATICUSDT.BYBIT,空,平,975.0,0.8593
2023-01-12 08:00:00,MATICUSDT.BYBIT,空,平,17.0,0.8913
2023-01-12 08:00:00,MATICUSDT.BYBIT,空,开,3698.0,0.8913
2023-01-12 23:05:00,MATICUSDT.BYBIT,多,开,944.0,0.8734
2023-01-13 02:25:00,MATICUSDT.BYBIT,空,平,952.0,0.9082
2023-01-13 13:00:00,MATICUSDT.BYBIT,空,平,5.0,0.9173
2023-01-13 21:20:00,MATICUSDT.BYBIT,多,开,917.0,0.8985
2023-01-14 04:20:00,MATICUSDT.BYBIT,空,平,915.0,0.9141
2023-01-14 06:20:00,MATICUSDT.BYBIT,空,平,10.0,0.9344
2023-01-14 06:20:00,MATICUSDT.BYBIT,空,开,7055.0,0.9344
2023-01-14 09:25:00,MATICUSDT.BYBIT,空,平,15.0,0.968
2023-01-14 09:25:00,MATICUSDT.BYBIT,空,开,13619.0,0.968
2023-01-14 10:15:00,MATICUSDT.BYBIT,空,平,5.0,0.9793
2023-01-14 15:05:00,MATICUSDT.BYBIT,空,平,11.0,1.0061
2023-01-14 15:05:00,MATICUSDT.BYBIT,空,开,26209.0,1.0061
2023-01-14 17:05:00,MATICUSDT.BYBIT,空,平,12.0,1.0352
2023-01-14 18:20:00,MATICUSDT.BYBIT,多,开,843.0,0.9779
2023-01-16 10:45:00,MATICUSDT.BYBIT,空,平,841.0,1.0312
2023-01-16 16:45:00,MATICUSDT.BYBIT,多,开,832.0,0.9899
2023-01-17 04:10:00,MATICUSDT.BYBIT,空,平,826.0,1.014
2023-01-17 08:30:00,MATICUSDT.BYBIT,空,平,4.0,1.0248
2023-01-17 09:50:00,MATICUSDT.BYBIT,多,开,821.0,1.0039
2023-01-18 04:15:00,MATICUSDT.BYBIT,空,平,819.0,1.0209
2023-01-18 08:05:00,MATICUSDT.BYBIT,多,开,824.0,0.9999
2023-01-19 00:55:00,MATICUSDT.BYBIT,多,开,1743.0,0.9452
2023-01-19 00:55:00,MATICUSDT.BYBIT,多,平,37878.0,0.9452
2023-01-19 20:30:00,MATICUSDT.BYBIT,多,平,15791.0,0.9318
2023-01-20 04:20:00,MATICUSDT.BYBIT,空,开,865.0,0.9527
2023-01-21 02:15:00,MATICUSDT.BYBIT,空,平,2551.0,0.9806
