datetime,symbol,direction,offset,volume,price
2022-12-21 00:50:00,NEARUSDT.BYBIT,多,开,310.5,1.327
2022-12-21 00:50:00,NEARUSDT.BYBIT,空,开,310.5,1.327
2022-12-21 04:00:00,NEARUSDT.BYBIT,空,平,3.3,1.341
2022-12-21 13:10:00,NEARUSDT.BYBIT,多,开,632.9,1.302
2022-12-21 13:10:00,NEARUSDT.BYBIT,空,开,5.9,1.302
2022-12-22 02:50:00,NEARUSDT.BYBIT,空,开,3.5,1.288
2022-12-22 09:20:00,NEARUSDT.BYBIT,空,开,626.6,1.315
2022-12-22 23:15:00,NEARUSDT.BYBIT,多,平,626.9,1.289
2022-12-23 02:40:00,NEARUSDT.BYBIT,空,开,3.3,1.276
2022-12-23 05:05:00,NEARUSDT.BYBIT,空,开,631.9,1.304
2022-12-23 10:40:00,NEARUSDT.BYBIT,空,平,631.9,1.337
2022-12-23 11:50:00,NEARUSDT.BYBIT,空,开,1220.7,1.35
2022-12-23 19:15:00,NEARUSDT.BYBIT,空,平,3.7,1.353
2022-12-25 14:05:00,NEARUSDT.BYBIT,多,开,622.4,1.324
2022-12-25 22:50:00,NEARUSDT.BYBIT,多,平,1861.0,1.31
2022-12-26 10:35:00,NEARUSDT.BYBIT,空,平,621.9,1.351
2022-12-26 10:35:00,NEARUSDT.BYBIT,空,开,609.9,1.351
2022-12-27 08:20:00,NEARUSDT.BYBIT,空,平,3.4,1.366
2022-12-28 03:30:00,NEARUSDT.BYBIT,多,开,617.7,1.334
2022-12-28 07:40:00,NEARUSDT.BYBIT,空,平,615.9,1.358
2022-12-28 14:10:00,NEARUSDT.BYBIT,多,开,627.1,1.314
2022-12-28 14:10:00,NEARUSDT.BYBIT,多,平,610.9,1.314
2022-12-30 05:10:00,NEARUSDT.BYBIT,空,开,9.4,1.276
2022-12-30 05:50:00,NEARUSDT.BYBIT,多,开,1296.6,1.271
2022-12-30 16:50:00,NEARUSDT.BYBIT,空,开,3.8,1.261
2023-01-01 09:40:00,NEARUSDT.BYBIT,空,开,4.5,1.244
2023-01-02 02:45:00,NEARUSDT.BYBIT,空,开,646.3,1.275
2023-01-02 16:45:00,NEARUSDT.BYBIT,空,平,1912.6,1.31
2023-01-02 21:35:00,NEARUSDT.BYBIT,空,开,1252.2,1.316
2023-01-03 15:25:00,NEARUSDT.BYBIT,空,平,3.6,1.325
2023-01-03 18:05:00,NEARUSDT.BYBIT,空,平,4.8,1.346
2023-01-04 02:40:00,NEARUSDT.BYBIT,多,开,630.0,1.308
2023-01-04 09:50:00,NEARUSDT.BYBIT,空,平,632.5,1.357
2023-01-04 11:25:00,NEARUSDT.BYBIT,空,平,12.6,1.416
2023-01-04 11:25:00,NEARUSDT.BYBIT,空,开,2327.7,1.416
2023-01-04 15:00:00,NEARUSDT.BYBIT,空,平,9.4,1.463
2023-01-04 15:05:00,NEARUSDT.BYBIT,空,开,4499.7,1.465
2023-01-04 18:30:00,NEARUSDT.BYBIT,空,平,8.9,1.511
2023-01-04 21:35:00,NEARUSDT.BYBIT,空,平,3.6,1.531
2023-01-04 21:35:00,NEARUSDT.BYBIT,空,开,8611.3,1.531
2023-01-05 00:20:00,NEARUSDT.BYBIT,空,平,8.2,1.579
2023-01-05 01:20:00,NEARUSDT.BYBIT,空,开,16604.6,1.588
2023-01-05 02:15:00,NEARUSDT.BYBIT,空,平,2.6,1.595
2023-01-05 03:40:00,NEARUSDT.BYBIT,多,开,527.2,1.563
2023-01-05 12:40:00,NEARUSDT.BYBIT,空,平,528.5,1.603
2023-01-05 16:05:00,NEARUSDT.BYBIT,多,开,524.9,1.57
2023-01-06 12:50:00,NEARUSDT.BYBIT,多,开,1086.3,1.517
2023-01-06 14:05:00,NEARUSDT.BYBIT,多,平,23991.1,1.51
2023-01-07 07:30:00,NEARUSDT.BYBIT,空,平,1608.9,1.589
2023-01-07 17:20:00,NEARUSDT.BYBIT,多,开,530.9,1.552
2023-01-08 23:15:00,NEARUSDT.BYBIT,空,平,530.4,1.586
2023-01-09 02:40:00,NEARUSDT.BYBIT,空,平,3.7,1.609
2023-01-09 04:50:00,NEARUSDT.BYBIT,空,平,3.3,1.63
2023-01-09 08:50:00,NEARUSDT.BYBIT,空,平,7.6,1.68
2023-01-09 08:50:00,NEARUSDT.BYBIT,空,开,53192.1,1.68
2023-01-09 09:55:00,NEARUSDT.BYBIT,空,平,3.0,1.701
2023-01-09 16:45:00,NEARUSDT.BYBIT,多,开,494.9,1.665
2023-01-10 01:10:00,NEARUSDT.BYBIT,空,平,494.0,1.695
2023-01-10 04:20:00,NEARUSDT.BYBIT,多,开,496.4,1.66
2023-01-10 07:30:00,NEARUSDT.BYBIT,多,平,31737.0,1.637
2023-01-10 11:15:00,NEARUSDT.BYBIT,多,平,22215.9,1.61
2023-01-11 13:10:00,NEARUSDT.BYBIT,多,开,1031.9,1.597
2023-01-11 13:10:00,NEARUSDT.BYBIT,多,平,9263.1,1.597
2023-01-11 22:25:00,NEARUSDT.BYBIT,空,开,3.8,1.574
2023-01-12 03:55:00,NEARUSDT.BYBIT,空,平,1524.7,1.67
2023-01-12 03:55:00,NEARUSDT.BYBIT,空,开,493.4,1.67
2023-01-12 04:15:00,NEARUSDT.BYBIT,空,平,2.5,1.687
2023-01-12 05:20:00,NEARUSDT.BYBIT,空,平,7.1,1.738
2023-01-12 05:20:00,NEARUSDT.BYBIT,空,开,948.2,1.738
2023-01-12 07:15:00,NEARUSDT.BYBIT,空,平,7.7,1.796
2023-01-12 07:35:00,NEARUSDT.BYBIT,空,平,2.3,1.814
2023-01-12 10:50:00,NEARUSDT.BYBIT,空,平,2.5,1.834
2023-01-12 10:50:00,NEARUSDT.BYBIT,空,开,1797.2,1.834
2023-01-12 14:05:00,NEARUSDT.BYBIT,多,开,462.4,1.782
2023-01-13 02:35:00,NEARUSDT.BYBIT,空,平,460.4,1.818
2023-01-13 03:50:00,NEARUSDT.BYBIT,空,平,3.2,1.844
2023-01-13 10:10:00,NEARUSDT.BYBIT,多,开,456.0,1.807
2023-01-13 17:25:00,NEARUSDT.BYBIT,空,平,455.4,1.839
2023-01-13 21:25:00,NEARUSDT.BYBIT,多,开,458.1,1.799
2023-01-14 01:25:00,NEARUSDT.BYBIT,空,平,457.8,1.837
2023-01-14 05:25:00,NEARUSDT.BYBIT,空,平,11.3,1.934
2023-01-14 05:25:00,NEARUSDT.BYBIT,空,开,3408.4,1.934
2023-01-14 06:10:00,NEARUSDT.BYBIT,空,平,3.1,1.963
2023-01-14 09:25:00,NEARUSDT.BYBIT,空,平,7.9,2.04
2023-01-14 09:25:00,NEARUSDT.BYBIT,空,开,6462.8,2.04
2023-01-14 09:50:00,NEARUSDT.BYBIT,空,平,2.4,2.064
2023-01-14 12:10:00,NEARUSDT.BYBIT,空,平,2.0,2.085
2023-01-14 12:40:00,NEARUSDT.BYBIT,空,开,12526.3,2.105
2023-01-14 13:05:00,NEARUSDT.BYBIT,空,平,2.9,2.116
2023-01-14 14:40:00,NEARUSDT.BYBIT,空,平,8.3,2.21
2023-01-14 14:40:00,NEARUSDT.BYBIT,空,开,23862.5,2.21
2023-01-14 16:00:00,NEARUSDT.BYBIT,空,平,1.9,2.233
2023-01-14 17:00:00,NEARUSDT.BYBIT,空,平,3.8,2.28
2023-01-14 17:55:00,NEARUSDT.BYBIT,多,开,393.9,2.092
2023-01-14 18:00:00,NEARUSDT.BYBIT,多,平,24880.3,2.086
2023-01-14 20:50:00,NEARUSDT.BYBIT,空,平,385.8,2.182
