datetime,symbol,direction,offset,volume,price
2022-12-22 00:50:00,SUSHIUSDT.BYBIT,多,开,432.8,0.952
2022-12-22 00:50:00,SUSHIUSDT.BYBIT,空,开,432.8,0.952
2022-12-22 03:45:00,SUSHIUSDT.BYBIT,空,开,4.6,0.942
2022-12-22 06:35:00,SUSHIUSDT.BYBIT,多,开,890.8,0.925
2022-12-22 06:35:00,SUSHIUSDT.BYBIT,空,开,8.0,0.925
2022-12-22 09:45:00,SUSHIUSDT.BYBIT,空,平,887.6,0.945
2022-12-22 09:45:00,SUSHIUSDT.BYBIT,空,开,872.0,0.945
2022-12-22 13:35:00,SUSHIUSDT.BYBIT,多,开,892.7,0.923
2022-12-22 13:35:00,SUSHIUSDT.BYBIT,多,平,871.0,0.923
2022-12-22 20:20:00,SUSHIUSDT.BYBIT,空,平,890.9,0.941
2022-12-23 00:25:00,SUSHIUSDT.BYBIT,多,开,901.6,0.914
2022-12-23 02:30:00,SUSHIUSDT.BYBIT,空,开,6.8,0.909
2022-12-23 05:05:00,SUSHIUSDT.BYBIT,空,开,885.1,0.931
2022-12-23 06:40:00,SUSHIUSDT.BYBIT,空,平,902.5,0.943
2022-12-23 11:25:00,SUSHIUSDT.BYBIT,空,平,5.5,0.955
2022-12-25 19:10:00,SUSHIUSDT.BYBIT,多,开,887.0,0.929
2022-12-26 18:00:00,SUSHIUSDT.BYBIT,空,平,883.8,0.948
2022-12-26 22:00:00,SUSHIUSDT.BYBIT,空,平,4.5,0.958
2022-12-26 22:50:00,SUSHIUSDT.BYBIT,空,开,1714.9,0.961
2022-12-27 01:00:00,SUSHIUSDT.BYBIT,空,平,4.5,0.968
2022-12-27 02:45:00,SUSHIUSDT.BYBIT,空,平,4.8,0.979
2022-12-27 16:00:00,SUSHIUSDT.BYBIT,空,平,4.6,0.99
2022-12-27 21:35:00,SUSHIUSDT.BYBIT,空,平,4.6,1.001
2022-12-27 23:30:00,SUSHIUSDT.BYBIT,空,平,5.3,1.014
2022-12-28 03:00:00,SUSHIUSDT.BYBIT,多,开,829.8,0.993
2022-12-28 12:50:00,SUSHIUSDT.BYBIT,多,开,1720.3,0.958
2022-12-30 04:45:00,SUSHIUSDT.BYBIT,多,平,2610.2,0.93
2022-12-30 06:05:00,SUSHIUSDT.BYBIT,空,开,4.8,0.92
2022-12-30 07:50:00,SUSHIUSDT.BYBIT,空,开,876.6,0.94
2022-12-30 22:05:00,SUSHIUSDT.BYBIT,多,平,878.0,0.923
2022-12-31 10:00:00,SUSHIUSDT.BYBIT,空,开,5.9,0.911
2022-12-31 18:30:00,SUSHIUSDT.BYBIT,空,开,885.0,0.931
2023-01-02 17:25:00,SUSHIUSDT.BYBIT,空,开,1713.1,0.962
2023-01-04 11:40:00,SUSHIUSDT.BYBIT,空,平,2541.1,0.992
2023-01-04 15:00:00,SUSHIUSDT.BYBIT,空,平,7.0,1.009
2023-01-05 05:00:00,SUSHIUSDT.BYBIT,多,开,847.8,0.972
2023-01-05 08:30:00,SUSHIUSDT.BYBIT,空,平,842.0,0.995
2023-01-05 13:40:00,SUSHIUSDT.BYBIT,空,平,4.6,1.006
2023-01-05 17:30:00,SUSHIUSDT.BYBIT,多,开,836.6,0.985
2023-01-07 01:20:00,SUSHIUSDT.BYBIT,空,平,834.9,1.002
2023-01-07 07:20:00,SUSHIUSDT.BYBIT,空,平,6.9,1.019
2023-01-07 08:00:00,SUSHIUSDT.BYBIT,空,平,7.0,1.037
2023-01-07 08:00:00,SUSHIUSDT.BYBIT,空,开,3178.4,1.037
2023-01-07 09:15:00,SUSHIUSDT.BYBIT,空,平,6.0,1.053
2023-01-08 08:00:00,SUSHIUSDT.BYBIT,空,平,4.4,1.065
2023-01-08 17:15:00,SUSHIUSDT.BYBIT,空,平,5.4,1.08
2023-01-08 17:15:00,SUSHIUSDT.BYBIT,空,开,6103.7,1.08
2023-01-09 02:05:00,SUSHIUSDT.BYBIT,多,开,779.5,1.057
2023-01-09 05:40:00,SUSHIUSDT.BYBIT,空,平,778.1,1.076
2023-01-09 09:05:00,SUSHIUSDT.BYBIT,空,平,9.4,1.103
2023-01-09 12:20:00,SUSHIUSDT.BYBIT,空,平,3.7,1.114
2023-01-09 15:55:00,SUSHIUSDT.BYBIT,空,开,11782.0,1.119
2023-01-09 18:55:00,SUSHIUSDT.BYBIT,空,平,3.9,1.126
2023-01-10 04:20:00,SUSHIUSDT.BYBIT,多,开,749.8,1.099
2023-01-11 00:00:00,SUSHIUSDT.BYBIT,空,平,750.5,1.128
2023-01-11 11:40:00,SUSHIUSDT.BYBIT,多,开,749.8,1.099
2023-01-12 00:15:00,SUSHIUSDT.BYBIT,多,开,1553.3,1.061
2023-01-12 00:15:00,SUSHIUSDT.BYBIT,多,平,23726.2,1.061
2023-01-12 07:35:00,SUSHIUSDT.BYBIT,空,开,756.0,1.09
2023-01-12 07:55:00,SUSHIUSDT.BYBIT,空,平,2291.4,1.093
2023-01-12 09:30:00,SUSHIUSDT.BYBIT,空,平,8.4,1.118
2023-01-12 11:40:00,SUSHIUSDT.BYBIT,空,开,1463.6,1.126
2023-01-12 18:30:00,SUSHIUSDT.BYBIT,多,开,753.9,1.093
2023-01-12 18:30:00,SUSHIUSDT.BYBIT,多,平,2231.0,1.093
2023-01-12 22:15:00,SUSHIUSDT.BYBIT,空,平,751.9,1.112
2023-01-12 23:10:00,SUSHIUSDT.BYBIT,多,开,758.1,1.087
2023-01-13 00:50:00,SUSHIUSDT.BYBIT,空,平,756.8,1.108
2023-01-13 01:30:00,SUSHIUSDT.BYBIT,空,开,736.4,1.119
2023-01-13 01:35:00,SUSHIUSDT.BYBIT,空,平,3.9,1.12
2023-01-13 04:10:00,SUSHIUSDT.BYBIT,空,平,4.3,1.133
2023-01-13 13:00:00,SUSHIUSDT.BYBIT,空,平,4.4,1.147
2023-01-13 21:20:00,SUSHIUSDT.BYBIT,多,开,742.3,1.11
2023-01-14 02:30:00,SUSHIUSDT.BYBIT,空,平,750.3,1.173
2023-01-14 02:30:00,SUSHIUSDT.BYBIT,空,开,1405.0,1.173
2023-01-14 03:50:00,SUSHIUSDT.BYBIT,空,平,5.3,1.191
2023-01-14 05:50:00,SUSHIUSDT.BYBIT,空,平,3.4,1.203
2023-01-14 08:50:00,SUSHIUSDT.BYBIT,空,平,3.4,1.215
2023-01-14 10:05:00,SUSHIUSDT.BYBIT,空,平,4.4,1.231
2023-01-14 10:35:00,SUSHIUSDT.BYBIT,空,开,2660.2,1.239
2023-01-14 15:25:00,SUSHIUSDT.BYBIT,空,平,13.1,1.281
2023-01-14 16:00:00,SUSHIUSDT.BYBIT,空,开,5106.1,1.291
2023-01-14 16:40:00,SUSHIUSDT.BYBIT,空,平,6.1,1.306
2023-01-14 17:50:00,SUSHIUSDT.BYBIT,多,开,673.2,1.224
2023-01-14 17:50:00,SUSHIUSDT.BYBIT,多,平,9948.0,1.224
2023-01-14 22:35:00,SUSHIUSDT.BYBIT,空,开,654.0,1.26
2023-01-14 22:50:00,SUSHIUSDT.BYBIT,空,平,662.5,1.263
2023-01-15 02:30:00,SUSHIUSDT.BYBIT,多,开,665.6,1.238
2023-01-15 04:20:00,SUSHIUSDT.BYBIT,多,平,657.0,1.235
2023-01-15 17:15:00,SUSHIUSDT.BYBIT,空,开,4.1,1.22
2023-01-15 20:00:00,SUSHIUSDT.BYBIT,空,开,661.9,1.245
2023-01-15 21:45:00,SUSHIUSDT.BYBIT,空,平,672.7,1.291
2023-01-15 21:45:00,SUSHIUSDT.BYBIT,空,开,1276.5,1.291
2023-01-15 23:10:00,SUSHIUSDT.BYBIT,空,平,3.6,1.306
2023-01-16 01:40:00,SUSHIUSDT.BYBIT,空,平,3.4,1.32
2023-01-16 06:35:00,SUSHIUSDT.BYBIT,多,开,638.3,1.291
2023-01-16 10:30:00,SUSHIUSDT.BYBIT,空,平,639.7,1.326
2023-01-16 12:10:00,SUSHIUSDT.BYBIT,多,开,634.3,1.299
2023-01-16 16:50:00,SUSHIUSDT.BYBIT,多,开,1314.2,1.254
2023-01-16 16:50:00,SUSHIUSDT.BYBIT,多,平,1947.6,1.254
2023-01-16 22:20:00,SUSHIUSDT.BYBIT,空,开,4.3,1.238
2023-01-16 23:25:00,SUSHIUSDT.BYBIT,空,开,3.5,1.225
2023-01-17 03:45:00,SUSHIUSDT.BYBIT,空,开,647.8,1.272
2023-01-18 08:00:00,SUSHIUSDT.BYBIT,多,平,650.2,1.234
2023-01-18 10:25:00,SUSHIUSDT.BYBIT,空,开,651.4,1.265
2023-01-18 22:55:00,SUSHIUSDT.BYBIT,空,平,1943.0,1.303
2023-01-18 23:00:00,SUSHIUSDT.BYBIT,空,开,1262.8,1.305
2023-01-19 00:55:00,SUSHIUSDT.BYBIT,多,开,711.6,1.158
2023-01-19 00:55:00,SUSHIUSDT.BYBIT,多,平,1892.3,1.158
2023-01-19 01:45:00,SUSHIUSDT.BYBIT,空,开,690.1,1.194
2023-01-19 19:50:00,SUSHIUSDT.BYBIT,多,平,693.8,1.17
2023-01-19 21:25:00,SUSHIUSDT.BYBIT,空,开,4.6,1.155
2023-01-20 04:30:00,SUSHIUSDT.BYBIT,空,开,694.8,1.186
2023-01-21 03:05:00,SUSHIUSDT.BYBIT,空,平,692.0,1.227
2023-01-21 03:05:00,SUSHIUSDT.BYBIT,空,开,1343.1,1.227
2023-01-21 05:10:00,SUSHIUSDT.BYBIT,空,平,16.7,1.291
2023-01-21 06:50:00,SUSHIUSDT.BYBIT,空,开,2529.5,1.303
2023-01-21 07:35:00,SUSHIUSDT.BYBIT,空,平,3.1,1.304
2023-01-21 08:40:00,SUSHIUSDT.BYBIT,空,平,3.6,1.319
2023-01-21 17:25:00,SUSHIUSDT.BYBIT,空,平,3.6,1.334
2023-01-21 19:00:00,SUSHIUSDT.BYBIT,多,开,631.0,1.306
2023-01-22 01:20:00,SUSHIUSDT.BYBIT,空,平,633.5,1.345
2023-01-22 08:00:00,SUSHIUSDT.BYBIT,多,开,628.5,1.311
2023-01-22 23:10:00,SUSHIUSDT.BYBIT,空,平,633.4,1.367
2023-01-22 23:10:00,SUSHIUSDT.BYBIT,空,开,4822.3,1.367
2023-01-23 00:15:00,SUSHIUSDT.BYBIT,空,平,3.5,1.383
2023-01-23 02:00:00,SUSHIUSDT.BYBIT,空,平,4.5,1.404
2023-01-23 03:20:00,SUSHIUSDT.BYBIT,多,开,598.9,1.376
2023-01-23 06:50:00,SUSHIUSDT.BYBIT,多,开,1243.8,1.325
2023-01-23 09:50:00,SUSHIUSDT.BYBIT,空,平,1835.6,1.371
2023-01-23 22:25:00,SUSHIUSDT.BYBIT,多,开,615.4,1.339
2023-01-24 03:10:00,SUSHIUSDT.BYBIT,空,平,613.6,1.363
2023-01-25 02:10:00,SUSHIUSDT.BYBIT,多,开,619.5,1.33
2023-01-25 07:10:00,SUSHIUSDT.BYBIT,多,开,1326.9,1.242
2023-01-25 07:10:00,SUSHIUSDT.BYBIT,多,平,9414.7,1.242
2023-01-25 21:35:00,SUSHIUSDT.BYBIT,空,开,648.8,1.27
2023-01-26 06:10:00,SUSHIUSDT.BYBIT,空,平,1932.5,1.303
2023-01-26 06:35:00,SUSHIUSDT.BYBIT,空,开,1257.1,1.311
2023-01-26 13:25:00,SUSHIUSDT.BYBIT,空,平,3.8,1.319
2023-01-27 10:10:00,SUSHIUSDT.BYBIT,多,开,643.2,1.281
2023-01-27 14:20:00,SUSHIUSDT.BYBIT,空,平,640.4,1.307
2023-01-27 16:05:00,SUSHIUSDT.BYBIT,空,平,3.6,1.322
2023-01-27 21:35:00,SUSHIUSDT.BYBIT,多,开,635.9,1.296
2023-01-28 00:50:00,SUSHIUSDT.BYBIT,空,平,635.9,1.322
2023-01-28 02:00:00,SUSHIUSDT.BYBIT,空,平,6.4,1.35
2023-01-28 22:05:00,SUSHIUSDT.BYBIT,多,开,634.3,1.299
2023-01-29 21:25:00,SUSHIUSDT.BYBIT,空,平,630.2,1.332
2023-01-30 04:50:00,SUSHIUSDT.BYBIT,空,平,3.7,1.348
2023-01-30 14:55:00,SUSHIUSDT.BYBIT,多,开,623.8,1.321
2023-01-30 18:10:00,SUSHIUSDT.BYBIT,多,开,1313.2,1.255
2023-01-30 18:10:00,SUSHIUSDT.BYBIT,多,平,1909.3,1.255
2023-01-31 03:45:00,SUSHIUSDT.BYBIT,空,开,4.2,1.239
2023-01-31 23:55:00,SUSHIUSDT.BYBIT,空,开,650.4,1.267
