datetime,signal,position_price,position_value,max_loss_value,max_loss_rate,trending
2023-05-06 22:55:00,SXPUSDT.BYBIT_多,0.51005,33331.0,-415.0,-11.85%,加仓
2023-05-08 10:25:00,SXPUSDT.BYBIT_多,0.472175,280841.0,-3826.0,-11.48%,加仓
2023-05-10 14:00:00,SXPUSDT.BYBIT_多,0.43733,2353359.0,-24193.0,-8.61%,加仓
2023-05-10 22:45:00,SXPUSDT.BYBIT_多,0.4435,500.0,-133615.0,-5.68%,平仓
,,,,,,
2023-05-07 06:00:00,YGGUSDT.BYBIT_多,0.20927199999999999,28837.0,-318.0,-9.09%,加仓
2023-05-08 10:50:00,YGGUSDT.BYBIT_多,0.192708,257079.0,-2821.0,-9.78%,加仓
2023-05-10 20:25:00,YGGUSDT.BYBIT_多,0.178568,2143404.0,-22556.0,-8.77%,加仓
2023-05-10 21:20:00,YGGUSDT.BYBIT_多,0.184,500.0,-34425.0,-1.61%,平仓
,,,,,,
2023-05-07 23:50:00,GTCUSDT.BYBIT_多,1.65135,30241.0,-319.0,-9.11%,加仓
2023-05-08 16:25:00,GTCUSDT.BYBIT_多,1.53015,252193.0,-3138.0,-10.38%,加仓
2023-05-09 11:55:00,GTCUSDT.BYBIT_多,1.40895,2249758.0,-23099.0,-9.16%,加仓
2023-05-18 04:25:00,GTCUSDT.BYBIT_多,1.445,500.0,-205902.0,-9.15%,平仓
,,,,,,
2023-05-08 10:20:00,WOOUSDT.BYBIT_多,0.271892,31516.0,-396.0,-11.32%,加仓
2023-05-09 03:10:00,WOOUSDT.BYBIT_多,0.244218,352295.0,-3836.0,-12.17%,加仓
2023-05-10 06:20:00,WOOUSDT.BYBIT_多,0.222503,3484781.0,-38686.0,-10.98%,加仓
2023-05-10 21:20:00,WOOUSDT.BYBIT_多,0.2342,500.0,-100282.0,-2.88%,平仓
,,,,,,
