datetime,symbol,direction,offset,size,volume,price,pnl,totalPnl
2019-03-29 08:00:00,ETH.USD.Q.OKEF,多,开仓,10,3810,144.05100000000002,,
2019-03-30 08:00:00,ETH.USD.Q.OKEF,多,开仓,10,3950,146.583,,
2019-04-02 08:00:00,ETH.USD.Q.OKEF,多,开仓,10,4093,149.115,,
2019-04-02 08:00:00,ETH.USD.Q.OKEF,多,开仓,10,4238,151.647,,
2019-04-15 08:00:00,ETH.USD.Q.OKEF,空,平仓,10,16091.0,160.9,2081970.5899999957,2081970.5899999957
2019-05-07 08:00:00,ETH.USD.Q.OKEF,多,开仓,10,3063,182.361,,
2019-05-11 08:00:00,ETH.USD.Q.OKEF,多,开仓,10,3238,187.21200000000002,,
2019-05-11 08:00:00,ETH.USD.Q.OKEF,多,开仓,10,3418,192.064,,
2019-05-11 08:00:00,ETH.USD.Q.OKEF,多,开仓,10,3602,196.915,,
2019-06-04 08:00:00,ETH.USD.Q.OKEF,空,平仓,10,13321.0,236.865,6247518.840000004,8329489.43
2019-06-21 08:00:00,ETH.USD.Q.OKEF,多,开仓,10,5057,291.443,,
2019-06-21 08:00:00,ETH.USD.Q.OKEF,多,开仓,10,5337,298.973,,
2019-06-21 08:00:00,ETH.USD.Q.OKEF,多,开仓,10,5625,306.504,,
2019-06-21 08:00:00,ETH.USD.Q.OKEF,多,开仓,10,5920,314.034,,
2019-07-02 08:00:00,ETH.USD.Q.OKEF,空,平仓,10,21939.0,285.302,-3933718.539999999,4395770.890000001
2019-07-11 08:00:00,ETH.USD.Q.OKEF,空,开仓,10,3228,283.279,,
2019-07-11 08:00:00,ETH.USD.Q.OKEF,空,开仓,10,2922,268.202,,
2019-07-14 08:00:00,ETH.USD.Q.OKEF,空,开仓,10,2631,253.125,,
2019-07-14 08:00:00,ETH.USD.Q.OKEF,空,开仓,10,2355,238.047,,
2019-08-03 08:00:00,ETH.USD.Q.OKEF,多,平仓,10,11136.0,227.55,3906866.1600000034,8302637.0500000045
2019-08-14 08:00:00,ETH.USD.Q.OKEF,空,开仓,10,3508,195.095,,
2019-08-14 08:00:00,ETH.USD.Q.OKEF,空,开仓,10,3303,188.99,,
2019-08-14 08:00:00,ETH.USD.Q.OKEF,空,开仓,10,3105,182.885,,
2019-08-15 08:00:00,ETH.USD.Q.OKEF,空,开仓,10,2913,176.781,,
2019-08-19 08:00:00,ETH.USD.Q.OKEF,多,平仓,10,12829.0,201.20000000000002,-1897465.9200000053,6405171.129999999
2019-08-28 08:00:00,ETH.USD.Q.OKEF,空,开仓,10,2817,173.901,,
2019-08-28 08:00:00,ETH.USD.Q.OKEF,空,开仓,10,2634,167.776,,
