datetime,symbol,direction,offset,size,volume,price,pnl,totalPnl
2019-05-16 09:02:00,RB,多,开仓,10,30,170.0,,
2019-05-16 09:12:00,RB,空,平仓,10,30.0,171.0,300.0,300.0
2019-05-16 09:33:00,RB,空,开仓,10,30,173.0,,
2019-05-16 09:34:00,RB,多,平仓,10,30.0,169.0,1200.0,1500.0
2019-05-16 09:39:00,RB,多,开仓,10,30,164.0,,
2019-05-16 09:55:00,RB,空,平仓,10,30.0,161.0,-900.0,600.0
2019-05-16 11:30:00,RB,多,开仓,10,30,153.0,,
2019-05-16 13:38:00,RB,空,平仓,10,30.0,156.0,900.0,1500.0
2019-05-16 13:44:00,RB,空,开仓,10,30,160.0,,
2019-05-16 13:51:00,RB,多,平仓,10,30.0,156.0,1200.0,2700.0
2019-05-16 21:19:00,RB,空,开仓,10,30,159.0,,
2019-05-16 21:22:00,RB,多,平仓,10,30.0,155.0,1200.0,3900.0
2019-05-20 21:02:00,RB,空,开仓,10,30,152.0,,
2019-05-20 21:35:00,RB,多,平仓,10,30.0,159.0,-2100.0,1800.0
2019-05-20 21:52:00,RB,空,开仓,10,30,164.0,,
2019-05-20 22:03:00,RB,多,平仓,10,30.0,163.0,300.0,2100.0
2019-05-20 22:38:00,RB,空,开仓,10,30,169.0,,
2019-05-20 22:46:00,RB,多,平仓,10,30.0,166.0,900.0,3000.0
2019-05-21 11:18:00,RB,空,开仓,10,30,172.0,,
2019-05-21 11:26:00,RB,多,平仓,10,30.0,170.0,600.0,3600.0
2019-05-21 13:32:00,RB,空,开仓,10,30,175.0,,
2019-05-21 13:33:00,RB,多,平仓,10,30.0,171.0,1200.0,4800.0
2019-05-21 14:11:00,RB,空,开仓,10,30,173.0,,
2019-05-21 14:26:00,RB,多,平仓,10,30.0,174.0,-300.0,4500.0
2019-05-21 21:17:00,RB,多,开仓,10,30,170.0,,
2019-05-21 21:33:00,RB,空,平仓,10,30.0,170.0,,
2019-05-22 09:11:00,RB,空,开仓,10,30,174.0,,
2019-05-22 09:19:00,RB,多,平仓,10,30.0,171.0,900.0,5400.0
2019-05-22 14:34:00,RB,空,开仓,10,30,173.0,,
2019-05-22 14:39:00,RB,多,平仓,10,30.0,169.0,1200.0,6600.0
2019-05-22 22:57:00,RB,空,开仓,10,30,174.0,,
2019-05-22 23:00:00,RB,多,平仓,10,30.0,170.0,1200.0,7800.0
2019-05-23 21:04:00,RB,多,开仓,10,30,164.0,,
2019-05-23 21:05:00,RB,空,平仓,10,30.0,168.0,1200.0,9000.0
2019-05-24 09:17:00,RB,空,开仓,10,30,166.0,,
2019-05-24 09:30:00,RB,多,平仓,10,30.0,165.0,300.0,9300.0
2019-05-30 11:03:00,RB,多,开仓,10,30,150.0,,
2019-05-30 11:06:00,RB,空,平仓,10,30.0,154.0,1200.0,10500.0
2019-05-31 21:20:00,RB,多,开仓,10,30,133.0,,
2019-05-31 21:25:00,RB,空,平仓,10,30.0,138.0,1500.0,12000.0
2019-06-03 11:08:00,RB,多,开仓,10,30,132.0,,
2019-06-03 11:13:00,RB,空,平仓,10,30.0,135.0,900.0,12900.0
2019-06-03 21:14:00,RB,多,开仓,10,30,125.0,,
2019-06-03 21:17:00,RB,空,平仓,10,30.0,130.0,1500.0,14400.0
2019-06-04 11:30:00,RB,空,开仓,10,30,132.0,,
2019-06-04 13:40:00,RB,多,平仓,10,30.0,130.0,600.0,15000.0
2019-06-04 14:17:00,RB,空,开仓,10,30,134.0,,
2019-06-04 14:35:00,RB,多,平仓,10,30.0,133.0,300.0,15300.0
2019-06-04 21:21:00,RB,多,开仓,10,30,129.0,,
2019-06-04 21:31:00,RB,空,平仓,10,30.0,131.0,600.0,15900.0
2019-06-05 14:57:00,RB,空,开仓,10,30,140.0,,
2019-06-05 14:58:00,RB,多,平仓,10,30.0,136.0,1200.0,17100.0
2019-06-05 21:02:00,RB,多,开仓,10,30,132.0,,
2019-06-05 21:21:00,RB,空,平仓,10,30.0,133.0,300.0,17400.0
2019-06-05 21:46:00,RB,多,开仓,10,30,127.0,,
2019-06-05 21:55:00,RB,空,平仓,10,30.0,130.0,900.0,18300.0
2019-06-06 09:05:00,RB,多,开仓,10,30,125.0,,
2019-06-06 09:14:00,RB,空,平仓,10,30.0,127.0,600.0,18900.0
2019-06-06 10:43:00,RB,多,开仓,10,30,119.0,,
2019-06-06 10:58:00,RB,空,平仓,10,30.0,118.0,-300.0,18600.0
2019-06-06 11:19:00,RB,空,开仓,10,30,124.0,,
2019-06-06 11:27:00,RB,多,平仓,10,30.0,124.0,,
2019-06-06 14:11:00,RB,空,开仓,10,30,132.0,,
2019-06-06 14:23:00,RB,多,平仓,10,30.0,132.0,,
2019-06-06 14:43:00,RB,空,开仓,10,30,137.0,,
2019-06-06 14:53:00,RB,多,平仓,10,30.0,135.0,600.0,19200.0
2019-06-10 09:02:00,RB,多,开仓,10,30,132.0,,
2019-06-10 09:03:00,RB,空,平仓,10,30.0,136.0,1200.0,20400.0
2019-06-10 09:06:00,RB,多,开仓,10,30,131.0,,
2019-06-10 09:38:00,RB,空,平仓,10,30.0,121.0,-3000.0,17400.0
2019-06-10 14:56:00,RB,空,开仓,10,30,127.0,,
2019-06-10 21:01:00,RB,多,平仓,10,30.0,124.0,900.0,18300.0
2019-06-10 21:33:00,RB,空,开仓,10,30,131.0,,
2019-06-10 21:44:00,RB,多,平仓,10,30.0,130.0,300.0,18600.0
2019-06-11 09:16:00,RB,空,开仓,10,30,140.0,,
2019-06-11 09:20:00,RB,多,平仓,10,30.0,136.0,1200.0,19800.0
2019-06-11 21:23:00,RB,多,开仓,10,30,150.0,,
2019-06-11 21:40:00,RB,空,平仓,10,30.0,150.0,,
2019-06-12 13:32:00,RB,多,开仓,10,30,143.0,,
2019-06-12 13:43:00,RB,空,平仓,10,30.0,144.0,300.0,20100.0
2019-06-13 13:48:00,RB,多,开仓,10,30,136.0,,
2019-06-13 14:03:00,RB,空,平仓,10,30.0,137.0,300.0,20400.0
2019-06-13 15:00:00,RB,空,开仓,10,30,141.0,,
2019-06-13 21:11:00,RB,多,平仓,10,30.0,140.0,300.0,20700.0
2019-06-17 09:03:00,RB,多,开仓,10,30,128.0,,
2019-06-17 09:16:00,RB,空,平仓,10,30.0,129.0,300.0,21000.0
2019-06-17 09:57:00,RB,空,开仓,10,30,131.0,,
2019-06-17 10:09:00,RB,多,平仓,10,30.0,130.0,300.0,21300.0
2019-06-17 21:06:00,RB,多,开仓,10,30,124.0,,
2019-06-17 21:13:00,RB,空,平仓,10,30.0,126.0,600.0,21900.0
2019-06-18 14:56:00,RB,空,开仓,10,30,133.0,,
2019-06-18 21:08:00,RB,多,平仓,10,30.0,133.0,,
2019-06-18 22:03:00,RB,空,开仓,10,30,138.0,,
2019-06-18 22:07:00,RB,多,平仓,10,30.0,134.0,1200.0,23100.0
2019-06-19 09:05:00,RB,空,开仓,10,30,145.0,,
2019-06-19 09:09:00,RB,多,平仓,10,30.0,141.0,1200.0,24300.0
2019-06-19 09:19:00,RB,多,开仓,10,30,137.0,,
2019-06-19 09:31:00,RB,空,平仓,10,30.0,138.0,300.0,24600.0
2019-06-19 11:17:00,RB,多,开仓,10,30,130.0,,
2019-06-19 13:32:00,RB,空,平仓,10,30.0,130.0,,
2019-06-20 14:11:00,RB,多,开仓,10,30,139.0,,
2019-06-20 14:15:00,RB,空,平仓,10,30.0,143.0,1200.0,25800.0
2019-06-20 21:07:00,RB,多,开仓,10,30,143.0,,
2019-06-20 21:21:00,RB,空,平仓,10,30.0,144.0,300.0,26100.0
2019-06-20 22:27:00,RB,多,开仓,10,30,141.0,,
2019-06-20 22:39:00,RB,空,平仓,10,30.0,143.0,600.0,26700.0
2019-06-21 13:40:00,RB,空,开仓,10,30,152.0,,
2019-06-21 13:44:00,RB,多,平仓,10,30.0,148.0,1200.0,27900.0
2019-06-21 13:45:00,RB,多,开仓,10,30,143.0,,
2019-06-21 14:00:00,RB,空,平仓,10,30.0,145.0,600.0,28500.0
2019-06-21 14:56:00,RB,空,开仓,10,30,153.0,,
2019-06-21 21:03:00,RB,多,平仓,10,30.0,153.0,,
2019-06-21 21:34:00,RB,空,开仓,10,30,156.0,,
2019-06-21 21:39:00,RB,多,平仓,10,30.0,153.0,900.0,29400.0
2019-06-21 22:49:00,RB,多,开仓,10,30,156.0,,
2019-06-21 22:51:00,RB,空,平仓,10,30.0,160.0,1200.0,30600.0
2019-06-24 09:02:00,RB,空,开仓,10,30,168.0,,
2019-06-24 09:17:00,RB,多,平仓,10,30.0,173.0,-1500.0,29100.0
2019-06-24 09:25:00,RB,多,开仓,10,30,171.0,,
2019-06-24 09:29:00,RB,空,平仓,10,30.0,175.0,1200.0,30300.0
2019-06-24 10:12:00,RB,多,开仓,10,30,166.0,,
2019-06-24 10:35:00,RB,空,平仓,10,30.0,170.0,1200.0,31500.0
2019-06-24 14:44:00,RB,多,开仓,10,30,165.0,,
2019-06-24 14:51:00,RB,空,平仓,10,30.0,167.0,600.0,32100.0
2019-06-24 21:03:00,RB,空,开仓,10,30,168.0,,
2019-06-24 21:19:00,RB,多,平仓,10,30.0,168.0,,
2019-06-24 22:15:00,RB,空,开仓,10,30,175.0,,
2019-06-24 22:24:00,RB,多,平仓,10,30.0,175.0,,
2019-06-25 11:24:00,RB,多,开仓,10,30,171.0,,
2019-06-25 11:28:00,RB,空,平仓,10,30.0,174.0,900.0,33000.0
2019-06-25 13:40:00,RB,多,开仓,10,30,167.0,,
2019-06-25 13:51:00,RB,空,平仓,10,30.0,169.0,600.0,33600.0
2019-06-25 14:11:00,RB,空,开仓,10,30,174.0,,
2019-06-25 14:29:00,RB,多,平仓,10,30.0,176.0,-600.0,33000.0
2019-06-25 14:41:00,RB,多,开仓,10,30,171.0,,
2019-06-25 14:44:00,RB,空,平仓,10,30.0,175.0,1200.0,34200.0
2019-06-25 14:45:00,RB,空,开仓,10,30,180.0,,
2019-06-25 21:11:00,RB,多,平仓,10,30.0,183.0,-900.0,33300.0
2019-06-25 22:10:00,RB,多,开仓,10,30,177.0,,
2019-06-25 22:17:00,RB,空,平仓,10,30.0,179.0,600.0,33900.0
2019-06-27 09:30:00,RB,空,开仓,10,30,184.0,,
2019-06-27 09:41:00,RB,多,平仓,10,30.0,183.0,300.0,34200.0
2019-06-27 09:51:00,RB,多,开仓,10,30,180.0,,
2019-06-27 10:10:00,RB,空,平仓,10,30.0,181.0,300.0,34500.0
2019-06-27 21:18:00,RB,空,开仓,10,30,182.0,,
2019-06-27 21:19:00,RB,多,平仓,10,30.0,177.0,1500.0,36000.0
2019-06-27 21:22:00,RB,多,开仓,10,30,170.0,,
2019-06-27 21:38:00,RB,空,平仓,10,30.0,167.0,-900.0,35100.0
2019-06-28 10:14:00,RB,多,开仓,10,30,167.0,,
2019-06-28 10:34:00,RB,空,平仓,10,30.0,170.0,900.0,36000.0
2019-06-28 10:40:00,RB,空,开仓,10,30,174.0,,
2019-06-28 10:46:00,RB,多,平仓,10,30.0,170.0,1200.0,37200.0
2019-06-28 11:23:00,RB,空,开仓,10,30,178.0,,
2019-06-28 11:29:00,RB,多,平仓,10,30.0,175.0,900.0,38100.0
2019-06-28 13:31:00,RB,多,开仓,10,30,171.0,,
2019-06-28 13:48:00,RB,空,平仓,10,30.0,172.0,300.0,38400.0
2019-06-28 21:27:00,RB,空,开仓,10,30,179.0,,
2019-06-28 21:33:00,RB,多,平仓,10,30.0,176.0,900.0,39300.0
2019-06-28 22:07:00,RB,多,开仓,10,30,173.0,,
2019-06-28 22:15:00,RB,空,平仓,10,30.0,174.0,300.0,39600.0
2019-07-01 09:01:00,RB,空,开仓,10,30,179.0,,
2019-07-01 09:07:00,RB,多,平仓,10,30.0,178.0,300.0,39900.0
2019-07-01 14:47:00,RB,多,开仓,10,30,174.0,,
2019-07-01 14:56:00,RB,空,平仓,10,30.0,176.0,600.0,40500.0
2019-07-02 09:02:00,RB,多,开仓,10,30,171.0,,
2019-07-02 09:19:00,RB,空,平仓,10,30.0,169.0,-600.0,39900.0
2019-07-02 09:28:00,RB,空,开仓,10,30,172.0,,
2019-07-02 09:31:00,RB,多,平仓,10,30.0,168.0,1200.0,41100.0
2019-07-02 21:29:00,RB,空,开仓,10,30,178.0,,
2019-07-02 21:37:00,RB,多,平仓,10,30.0,175.0,900.0,42000.0
2019-07-02 22:46:00,RB,多,开仓,10,30,168.0,,
2019-07-02 22:53:00,RB,空,平仓,10,30.0,170.0,600.0,42600.0
2019-07-03 09:06:00,RB,空,开仓,10,30,174.0,,
2019-07-03 09:11:00,RB,多,平仓,10,30.0,170.0,1200.0,43800.0
2019-07-03 09:14:00,RB,多,开仓,10,30,165.0,,
2019-07-03 09:31:00,RB,空,平仓,10,30.0,166.0,300.0,44100.0
2019-07-04 13:34:00,RB,多,开仓,10,30,166.0,,
2019-07-04 13:38:00,RB,空,平仓,10,30.0,169.0,900.0,45000.0
2019-07-04 13:47:00,RB,空,开仓,10,30,173.0,,
2019-07-04 14:01:00,RB,多,平仓,10,30.0,172.0,300.0,45300.0
2019-07-04 21:01:00,RB,多,开仓,10,30,168.0,,
2019-07-04 21:06:00,RB,空,平仓,10,30.0,172.0,1200.0,46500.0
2019-07-05 13:43:00,RB,多,开仓,10,30,163.0,,
2019-07-05 13:49:00,RB,空,平仓,10,30.0,165.0,600.0,47100.0
2019-07-05 14:10:00,RB,多,开仓,10,30,160.0,,
2019-07-05 14:15:00,RB,空,平仓,10,30.0,163.0,900.0,48000.0
2019-07-05 14:19:00,RB,多,开仓,10,30,157.0,,
2019-07-05 14:36:00,RB,空,平仓,10,30.0,158.0,300.0,48300.0
2019-07-05 21:26:00,RB,空,开仓,10,30,170.0,,
2019-07-05 21:36:00,RB,多,平仓,10,30.0,168.0,600.0,48900.0
2019-07-08 13:34:00,RB,多,开仓,10,30,169.0,,
