datetime,symbol,open,high,low,close,volume
2019-09-19 08:00:00,okswap/eth.usd.td,210.25,210.3,210.18,210.19,1546.0
2019-09-19 08:01:00,okswap/eth.usd.td,210.18,210.18,207.89,209.04,156820.0
2019-09-19 08:02:00,okswap/eth.usd.td,209.04,209.65,208.88,209.65,34815.0
2019-09-19 08:03:00,okswap/eth.usd.td,209.58,209.88,209.36,209.36,17708.0
2019-09-19 08:04:00,okswap/eth.usd.td,209.3,209.7,209.01,209.42,17597.0
2019-09-19 08:05:00,okswap/eth.usd.td,209.45,209.51,209.28,209.35,42977.0
2019-09-19 08:06:00,okswap/eth.usd.td,209.35,209.48,208.68,209.17,45887.0
2019-09-19 08:07:00,okswap/eth.usd.td,209.17,209.34,209.1,209.19,6628.0
2019-09-19 08:08:00,okswap/eth.usd.td,209.19,209.19,209.0,209.0,4386.0
2019-09-19 08:09:00,okswap/eth.usd.td,208.99,209.01,208.69,208.71,8006.0
2019-09-19 08:10:00,okswap/eth.usd.td,208.71,208.8,208.5,208.5,8787.0
2019-09-19 08:11:00,okswap/eth.usd.td,208.51,208.51,207.91,207.91,25055.0
2019-09-19 08:12:00,okswap/eth.usd.td,207.91,208.59,207.81,208.59,40534.0
2019-09-19 08:13:00,okswap/eth.usd.td,208.6,209.14,208.6,208.74,9233.0
2019-09-19 08:14:00,okswap/eth.usd.td,208.76,209.3,208.76,209.1,9011.0
2019-09-19 08:15:00,okswap/eth.usd.td,209.08,209.08,208.76,208.76,9586.0
2019-09-19 08:16:00,okswap/eth.usd.td,208.76,209.24,208.76,209.15,5912.0
2019-09-19 08:17:00,okswap/eth.usd.td,209.1,209.27,208.99,209.27,7593.0
2019-09-19 08:18:00,okswap/eth.usd.td,209.28,209.48,209.28,209.41,9345.0
2019-09-19 08:19:00,okswap/eth.usd.td,209.42,209.72,209.42,209.6,8869.0
2019-09-19 08:20:00,okswap/eth.usd.td,209.59,209.59,209.17,209.23,7058.0
2019-09-19 08:21:00,okswap/eth.usd.td,209.24,209.42,209.24,209.28,2110.0
2019-09-19 08:22:00,okswap/eth.usd.td,209.28,209.28,209.16,209.17,1684.0
2019-09-19 08:23:00,okswap/eth.usd.td,209.17,209.17,209.11,209.11,4829.0
2019-09-19 08:24:00,okswap/eth.usd.td,209.1,209.1,208.71,208.72,4821.0
2019-09-19 08:25:00,okswap/eth.usd.td,208.73,208.97,208.7,208.97,9867.0
2019-09-19 08:26:00,okswap/eth.usd.td,208.97,208.97,208.65,208.72,4159.0
2019-09-19 08:27:00,okswap/eth.usd.td,208.73,208.73,208.58,208.58,3624.0
2019-09-19 08:28:00,okswap/eth.usd.td,208.57,208.57,208.3,208.37,7469.0
2019-09-19 08:29:00,okswap/eth.usd.td,208.37,208.43,208.36,208.36,4086.0
2019-09-19 08:30:00,okswap/eth.usd.td,208.37,208.37,207.94,208.0,11220.0
2019-09-19 08:31:00,okswap/eth.usd.td,208.01,208.01,207.73,207.93,15480.0
2019-09-19 08:32:00,okswap/eth.usd.td,207.94,207.94,207.73,207.74,4644.0
2019-09-19 08:33:00,okswap/eth.usd.td,207.74,207.74,207.07,207.09,47298.0
2019-09-19 08:34:00,okswap/eth.usd.td,207.08,207.67,207.08,207.27,21167.0
2019-09-19 08:35:00,okswap/eth.usd.td,207.27,207.64,207.13,207.56,20815.0
2019-09-19 08:36:00,okswap/eth.usd.td,207.57,207.93,207.57,207.92,8739.0
2019-09-19 08:37:00,okswap/eth.usd.td,207.93,208.19,207.93,208.02,11183.0
2019-09-19 08:38:00,okswap/eth.usd.td,207.95,208.15,207.84,208.15,4678.0
2019-09-19 08:39:00,okswap/eth.usd.td,208.16,208.16,207.96,208.05,1955.0
2019-09-19 08:40:00,okswap/eth.usd.td,208.05,208.19,207.99,207.99,2840.0
2019-09-19 08:41:00,okswap/eth.usd.td,207.99,207.99,207.98,207.99,5421.0
2019-09-19 08:42:00,okswap/eth.usd.td,207.98,207.98,207.7,207.91,8719.0
2019-09-19 08:43:00,okswap/eth.usd.td,207.91,207.94,207.91,207.94,3818.0
2019-09-19 08:44:00,okswap/eth.usd.td,207.93,207.93,207.84,207.84,1673.0
2019-09-19 08:45:00,okswap/eth.usd.td,207.83,207.91,207.83,207.91,3481.0
2019-09-19 08:46:00,okswap/eth.usd.td,207.91,207.91,207.83,207.91,2444.0
2019-09-19 08:47:00,okswap/eth.usd.td,207.92,208.08,207.92,208.08,3849.0
2019-09-19 08:48:00,okswap/eth.usd.td,208.08,208.15,208.08,208.15,16076.0
2019-09-19 08:49:00,okswap/eth.usd.td,208.16,208.39,208.16,208.39,6234.0
2019-09-19 08:50:00,okswap/eth.usd.td,208.39,208.55,208.39,208.55,10749.0
2019-09-19 08:51:00,okswap/eth.usd.td,208.55,208.64,208.55,208.64,13273.0
2019-09-19 08:52:00,okswap/eth.usd.td,208.65,208.71,208.64,208.71,3842.0
2019-09-19 08:53:00,okswap/eth.usd.td,208.7,208.92,208.7,208.92,4930.0
2019-09-19 08:54:00,okswap/eth.usd.td,208.93,209.24,208.93,209.17,9360.0
2019-09-19 08:55:00,okswap/eth.usd.td,209.16,209.16,208.72,208.88,15589.0
2019-09-19 08:56:00,okswap/eth.usd.td,208.88,208.88,208.74,208.77,1539.0
2019-09-19 08:57:00,okswap/eth.usd.td,208.79,208.81,208.78,208.81,858.0
2019-09-19 08:58:00,okswap/eth.usd.td,208.82,208.82,208.69,208.7,9974.0
2019-09-19 08:59:00,okswap/eth.usd.td,208.7,208.7,208.6,208.6,2432.0
2019-09-19 09:00:00,okswap/eth.usd.td,208.59,208.59,208.59,208.59,2301.0
2019-09-19 09:01:00,okswap/eth.usd.td,208.59,208.59,208.31,208.32,4353.0
2019-09-19 09:02:00,okswap/eth.usd.td,208.32,208.32,208.28,208.28,9646.0
2019-09-19 09:03:00,okswap/eth.usd.td,208.21,208.21,207.93,207.94,6976.0
2019-09-19 09:04:00,okswap/eth.usd.td,207.94,208.18,207.9,208.15,8921.0
2019-09-19 09:05:00,okswap/eth.usd.td,208.2,208.2,207.97,207.98,6990.0
2019-09-19 09:06:00,okswap/eth.usd.td,207.99,208.05,207.99,208.05,3737.0
2019-09-19 09:07:00,okswap/eth.usd.td,208.04,208.05,208.01,208.02,728.0
2019-09-19 09:08:00,okswap/eth.usd.td,208.02,208.02,207.87,207.87,3171.0
2019-09-19 09:09:00,okswap/eth.usd.td,207.87,207.88,207.75,207.75,764.0
2019-09-19 09:10:00,okswap/eth.usd.td,207.76,207.9,207.76,207.9,4148.0
2019-09-19 09:11:00,okswap/eth.usd.td,207.9,207.92,207.89,207.92,522.0
2019-09-19 09:12:00,okswap/eth.usd.td,207.93,207.95,207.93,207.95,14628.0
2019-09-19 09:13:00,okswap/eth.usd.td,207.96,207.97,207.95,207.96,3947.0
2019-09-19 09:14:00,okswap/eth.usd.td,207.96,207.96,207.84,207.85,13760.0
2019-09-19 09:15:00,okswap/eth.usd.td,207.86,207.95,207.86,207.95,8405.0
2019-09-19 09:16:00,okswap/eth.usd.td,207.95,208.03,207.95,208.02,2903.0
2019-09-19 09:17:00,okswap/eth.usd.td,208.02,208.07,208.02,208.07,1111.0
2019-09-19 09:18:00,okswap/eth.usd.td,208.08,208.29,208.08,208.29,1152.0
2019-09-19 09:19:00,okswap/eth.usd.td,208.29,208.29,208.05,208.1,6791.0
2019-09-19 09:20:00,okswap/eth.usd.td,208.11,208.14,208.07,208.09,6069.0
2019-09-19 09:21:00,okswap/eth.usd.td,208.1,208.32,208.1,208.31,4002.0
2019-09-19 09:22:00,okswap/eth.usd.td,208.32,208.32,208.1,208.1,975.0
2019-09-19 09:23:00,okswap/eth.usd.td,208.09,208.09,207.8,207.86,3958.0
2019-09-19 09:24:00,okswap/eth.usd.td,207.86,207.86,207.84,207.84,1908.0
2019-09-19 09:25:00,okswap/eth.usd.td,207.85,207.86,207.85,207.86,664.0
2019-09-19 09:26:00,okswap/eth.usd.td,207.86,207.94,207.86,207.94,1682.0
2019-09-19 09:27:00,okswap/eth.usd.td,207.94,207.94,207.78,207.78,2617.0
2019-09-19 09:28:00,okswap/eth.usd.td,207.77,207.77,207.61,207.61,1791.0
2019-09-19 09:29:00,okswap/eth.usd.td,207.62,207.63,207.62,207.63,2984.0
2019-09-19 09:30:00,okswap/eth.usd.td,207.62,207.62,207.33,207.33,16403.0
2019-09-19 09:31:00,okswap/eth.usd.td,207.33,207.36,207.33,207.36,4839.0
2019-09-19 09:32:00,okswap/eth.usd.td,207.36,207.39,207.23,207.23,4741.0
2019-09-19 09:33:00,okswap/eth.usd.td,207.23,207.23,206.95,207.06,37111.0
2019-09-19 09:34:00,okswap/eth.usd.td,207.06,207.06,206.76,206.77,22889.0
2019-09-19 09:35:00,okswap/eth.usd.td,206.77,206.77,206.13,206.13,59472.0
2019-09-19 09:36:00,okswap/eth.usd.td,206.12,206.7,205.62,206.53,115538.0
2019-09-19 09:37:00,okswap/eth.usd.td,206.53,207.02,206.5,207.02,12627.0
2019-09-19 09:38:00,okswap/eth.usd.td,207.03,207.77,207.03,207.15,38141.0
2019-09-19 09:39:00,okswap/eth.usd.td,207.14,207.53,207.08,207.41,18622.0
2019-09-19 09:40:00,okswap/eth.usd.td,207.41,207.41,207.4,207.4,183.0
2019-09-19 09:41:00,okswap/eth.usd.td,207.4,207.4,207.04,207.07,39730.0
2019-09-19 09:42:00,okswap/eth.usd.td,207.08,207.2,207.06,207.06,1905.0
2019-09-19 09:43:00,okswap/eth.usd.td,207.06,207.06,206.71,206.72,10431.0
2019-09-19 09:44:00,okswap/eth.usd.td,206.72,206.77,206.71,206.77,18807.0
