信号点: 37153 个, 涉及币种 293 个 | 妖币过滤阈值 80.0%
K 预拉完成: 293/293 币, 缺失 0: []
  [tick] 2025-12-01 22:40:00 持仓 3 开仓 4
  [tick] 2025-12-05 10:00:00 持仓 1 开仓 11
  [tick] 2025-12-08 21:20:00 持仓 1 开仓 17
  [tick] 2025-12-12 08:40:00 持仓 0 开仓 19
  [tick] 2025-12-15 20:00:00 持仓 1 开仓 23
  [tick] 2025-12-19 07:20:00 持仓 4 开仓 29
  [tick] 2025-12-22 18:40:00 持仓 1 开仓 33
  [tick] 2025-12-26 06:00:00 持仓 1 开仓 39
  [tick] 2025-12-29 17:20:00 持仓 3 开仓 44
  [tick] 2026-01-02 04:40:00 持仓 1 开仓 46
  [tick] 2026-01-05 16:00:00 持仓 1 开仓 51
  [tick] 2026-01-09 03:20:00 持仓 3 开仓 58
  [tick] 2026-01-12 14:40:00 持仓 3 开仓 69
  [tick] 2026-01-16 02:00:00 持仓 0 开仓 75
  [tick] 2026-01-19 13:20:00 持仓 2 开仓 84
  [tick] 2026-01-23 00:40:00 持仓 2 开仓 90
  [tick] 2026-01-26 12:00:00 持仓 2 开仓 96
  [tick] 2026-01-29 23:20:00 持仓 2 开仓 102
  [tick] 2026-02-02 10:40:00 持仓 2 开仓 106
  [tick] 2026-02-05 22:00:00 持仓 0 开仓 110
  [tick] 2026-02-09 09:20:00 持仓 0 开仓 112
  [tick] 2026-02-12 20:40:00 持仓 1 开仓 115
  [tick] 2026-02-16 08:00:00 持仓 0 开仓 118
  [tick] 2026-02-19 19:20:00 持仓 0 开仓 122
  [tick] 2026-02-23 06:40:00 持仓 1 开仓 125
  [tick] 2026-02-26 18:00:00 持仓 0 开仓 131
  [tick] 2026-03-02 05:20:00 持仓 0 开仓 132
  [tick] 2026-03-05 16:40:00 持仓 1 开仓 136
  [tick] 2026-03-09 04:00:00 持仓 2 开仓 145
  [tick] 2026-03-12 15:20:00 持仓 2 开仓 153
  [tick] 2026-03-16 02:40:00 持仓 2 开仓 161
  [tick] 2026-03-19 14:00:00 持仓 1 开仓 170
  [tick] 2026-03-23 01:20:00 持仓 0 开仓 173
  [tick] 2026-03-26 12:40:00 持仓 1 开仓 179
  [tick] 2026-03-30 00:00:00 持仓 1 开仓 185
  [tick] 2026-04-02 11:20:00 持仓 0 开仓 190
  [tick] 2026-04-05 22:40:00 持仓 1 开仓 193
  [tick] 2026-04-09 10:00:00 持仓 2 开仓 199
  [tick] 2026-04-12 21:20:00 持仓 0 开仓 204
  [tick] 2026-04-16 08:40:00 持仓 3 开仓 209
  [tick] 2026-04-19 20:00:00 持仓 4 开仓 215
  [tick] 2026-04-23 07:20:00 持仓 0 开仓 220
  [tick] 2026-04-26 18:40:00 持仓 4 开仓 229
  [tick] 2026-04-30 06:00:00 持仓 3 开仓 236
  [tick] 2026-05-03 17:20:00 持仓 2 开仓 239
  [tick] 2026-05-07 04:40:00 持仓 1 开仓 242
  [tick] 2026-05-10 16:00:00 持仓 3 开仓 249
  [tick] 2026-05-14 03:20:00 持仓 2 开仓 257
  [tick] 2026-05-17 14:40:00 持仓 2 开仓 262
  [tick] 2026-05-21 02:00:00 持仓 1 开仓 267
  [tick] 2026-05-24 13:20:00 持仓 2 开仓 273
  [tick] 2026-05-28 00:40:00 持仓 2 开仓 277
  [tick] 2026-05-31 12:00:00 持仓 1 开仓 281
  [tick] 2026-06-03 23:20:00 持仓 3 开仓 287
  [tick] 2026-06-07 10:40:00 持仓 1 开仓 293
  [tick] 2026-06-10 22:00:00 持仓 1 开仓 298
  [tick] 2026-06-14 09:20:00 持仓 2 开仓 302
  [tick] 2026-06-17 20:40:00 持仓 0 开仓 306
  [tick] 2026-06-21 08:00:00 持仓 0 开仓 310
  [tick] 2026-06-24 19:20:00 持仓 1 开仓 316
  [tick] 2026-06-28 06:40:00 持仓 0 开仓 321
  [tick] 2026-07-01 18:00:00 持仓 5 开仓 330
  [tick] 2026-07-05 05:20:00 持仓 1 开仓 336
  [tick] 2026-07-08 16:40:00 持仓 0 开仓 343
  [tick] 2026-07-12 04:00:00 持仓 3 开仓 351
  [tick] 2026-07-15 15:20:00 持仓 0 开仓 355
  [tick] 2026-07-19 02:40:00 持仓 1 开仓 360
  [tick] 2026-07-22 14:00:00 持仓 0 开仓 362
  [tick] 2026-07-26 01:20:00 持仓 1 开仓 366
  [tick] 2026-07-29 12:40:00 持仓 0 开仓 371
  [tick] 2026-08-02 00:00:00 持仓 2 开仓 376
  [tick] 2026-08-05 11:20:00 持仓 0 开仓 380
  [tick] 2026-08-08 22:40:00 持仓 1 开仓 387
  [tick] 2026-08-12 10:00:00 持仓 2 开仓 391
  [tick] 2026-08-15 21:20:00 持仓 1 开仓 399

回测完成: 开仓 399, 止损平仓 3, 到期平仓 396, 延迟入场取消 0
交易 399 笔(加权本金399) | 胜率 56.4% | 加权平均盈亏 3.392% | 平均盈利 17.394% | 平均亏损 -14.715%
✅ 数据完整性: 无因数据缺失未参与回测的币
输出: workbuddy/data/change_20251201_20260816/_exp_w1.csv
