symbol,change,price,volume
BMTUSDT,84.79,0.0334100,622742205.4822300
龙虾USDT,44.97,0.0275790,75302158.2694910
GRVTUSDT,34.998,0.3838000,113941367.4917000
ACTUSDT,29.665,0.0126320,26072889.9584710
NILUSDT,24.8,0.042120,47894966.895801
TSTUSDT,24.471,0.0199900,65286711.9530180
BOMEUSDT,20.369,0.0007830,63596599.3969001
CAPUSDT,19.054,0.0470500,62435930.4187500
SQDUSDT,15.52,0.0399700,3699970.5388800
PEOPLEUSDT,14.64,0.0089580,36495295.0545170
BROCCOLI714USDT,14.456,0.0191600,31164000.6953900
BTWUSDT,14.036,0.2001900,71064460.9759100
WLDUSDT,13.532,0.3507000,111665658.6243000
MUBARAKUSDT,13.155,0.0203000,220242316.1600800
GUAUSDT,12.607,0.0395700,8115446.8924400
ESPUSDT,11.464,0.0750600,39761394.2080700
QUSDT,10.906,0.0236740,4420138.7772230
GUNUSDT,10.671,0.0034120,2937009.4185030
NEIROUSDT,10.539,0.00007237,15912106.62268445
C98USDT,10.515,0.0154500,15077384.8187900
ONUSDT,10.109,0.3879800,56051883.4856700
我踏马来了USDT,10.092,0.0103420,3225978.2502880
PUMPUSDT,9.707,0.0027350,170741251.9293520
JTOUSDT,9.417,0.563500,15683325.866700
PTBUSDT,8.971,0.0009135,9042348.4778817
INXUSDT,8.936,0.0084240,6358896.6937590
COAIUSDT,8.697,0.3862000,13369374.5104000
LAUSDT,8.476,0.055800,12552395.048699
CUSDT,8.452,0.0678800,2523431.0474800
CYSUSDT,8.18,0.9125000,177464733.9107000
CGPTUSDT,8.108,0.0216000,7086531.9577300
EDENUSDT,7.667,0.0456400,4895641.6881600
FWDIUSDT,7.448,4.50100,895558.41872
VVVUSDT,7.307,12.012000,11766945.706090
GRIFFAINUSDT,7.104,0.0119560,2058357.3885710
CTSIUSDT,6.908,0.0260000,12237561.5574400
BANANAS31USDT,6.688,0.0084700,34762070.1206530
ACUUSDT,6.57,0.0906800,5344041.9585300
PHAUSDT,6.297,0.0254900,3100037.9812400
ALTUSDT,6.19,0.0062960,4899856.7496640
PNUTUSDT,6.129,0.0420800,11712128.0676900
ERAUSDT,5.975,0.0716600,4734185.2779400
HUSDT,5.966,0.0818800,4201739.9222900
AIXBTUSDT,5.964,0.0191900,4786428.7098100
EIGENUSDT,5.923,0.1860000,6986285.3978400
SIRENUSDT,5.75,0.0323700,7500458.3316400
PROMPTUSDT,5.717,0.0229300,3694017.2652100
COOKIEUSDT,5.566,0.0125750,73631684.5303070
PIPPINUSDT,5.491,0.0182500,4131266.4973700
XPLUSDT,5.457,0.0803900,11698181.1174300
