symbol,change,price,volume
龙虾USDT,25.5703,0.0275790,75302158.2694910
EPICUSDT,22.9048,0.626200,124150829.947800
TSTUSDT,11.241,0.0199900,65286711.9530180
我踏马来了USDT,9.8227,0.0103420,3225978.2502880
ACEUSDT,9.2804,0.122700,51570005.805383
BICOUSDT,8.9552,0.0423400,305535409.5890500
GRVTUSDT,8.3875,0.3838000,113941367.4917000
SKYAIUSDT,6.129,0.1156700,77601135.2328500
LAUSDT,3.7753,0.055800,12552395.048699
4USDT,3.717,0.0121660,14020825.0492850
FWDIUSDT,3.5427,4.50100,895558.41872
BLUAIUSDT,3.2058,0.0157750,56144436.2444100
PHAUSDT,2.9483,0.0254900,3100037.9812400
CGPTUSDT,2.8082,0.0216000,7086531.9577300
MUSDT,2.6227,1.0956000,5647507.1228000
GUNUSDT,2.5857,0.0034120,2937009.4185030
NILUSDT,2.5067,0.042120,47894966.895801
ARXUSDT,2.4806,0.1322000,3121910.3601000
ACUUSDT,2.4054,0.0906800,5344041.9585300
ONUSDT,2.3154,0.3879800,56051883.4856700
USUSDT,2.1885,0.0453390,55086518.8486520
MVLLUSDT,2.1685,28.74000,7878471.29380
BNCUSDT,2.1377,2.38900,356446.73167
PORTALUSDT,2.0979,0.0116800,1549083.3143950
GWEIUSDT,2.0534,0.0248500,33676995.2556100
QUSDT,2.0475,0.0236740,4420138.7772230
CROSSUSDT,2.0202,0.1040300,844485.4955900
ROSEUSDT,1.9339,0.0057980,2366910.6147770
LQTYUSDT,1.8809,0.195000,904716.720690
AVNTUSDT,1.8404,0.0957300,4374353.8294000
HUMAUSDT,1.8071,0.0207880,4351689.1622000
KGENUSDT,1.797,0.1926000,5995653.8528300
ARKMUSDT,1.7329,0.0998000,1339768.4192000
SNXXUSDT,1.7297,9.41000,59869515.98020
SOXLUSDT,1.7152,146.48000,368575939.89010
PEOPLEUSDT,1.7145,0.0089580,36495295.0545170
HUSDT,1.689,0.0818800,4201739.9222900
BTWUSDT,1.6657,0.2001900,71064460.9759100
SWARMSUSDT,1.6623,0.0081950,2795939.0582830
FOGOUSDT,1.649,0.0091230,1376109.9160070
MEUSDT,1.6093,0.0637700,3268607.3990870
MUUUSDT,1.5689,27.19000,28038963.88040
STARUSDT,1.5609,0.0963000,4306365.7503200
INXUSDT,1.5429,0.0084240,6358896.6937590
CFGUSDT,1.5235,0.1666000,820023.4577000
TRADOORUSDT,1.4928,0.6187000,7643974.3666000
BIOUSDT,1.4818,0.0267100,4676822.4990900
币安人生USDT,1.4776,0.5288000,5066144.1864600
INTWUSDT,1.4545,25.11000,591965.27830
BTRUSDT,1.4532,0.0223400,4842660.2395200
