symbol,change,price,volume
EPICUSDT,-37.692,0.626200,124150829.947800
BICOUSDT,-35.858,0.0423400,305535409.5890500
BLUAIUSDT,-22.436,0.0157750,56144436.2444100
XANUSDT,-22.306,0.0128460,97597759.8793900
CLOUSDT,-21.847,0.0989500,6127043.4067200
BEATUSDT,-21.534,2.5470000,159038762.4716000
IOTXUSDT,-20.989,0.0026690,65716610.8532280
MAGMAUSDT,-14.877,0.1895600,9157684.2530200
MMTUSDT,-13.076,0.1981000,45985019.8748000
AVAAIUSDT,-12.052,0.0081150,1905348.9562580
SAGAUSDT,-10.748,0.0152800,19570200.3976860
AGTUSDT,-10.438,0.0141410,3598836.0438100
COTIUSDT,-10.257,0.0116460,17781519.0638312
BLESSUSDT,-10.16,0.0121940,71201930.6804700
SKYAIUSDT,-10.033,0.1156700,77601135.2328500
HEIUSDT,-9.949,0.148080,47790629.868354
DEEPUSDT,-9.704,0.0155400,5701970.1736500
USUSDT,-9.451,0.0453390,55086518.8486520
APRUSDT,-9.394,0.1958000,2292290.7548800
RAVEUSDT,-8.576,0.3230000,9094425.7415000
OPENUSDT,-8.204,0.1947000,3019811.5042000
ZESTUSDT,-8.127,0.1536400,4758742.0878200
HMSTRUSDT,-8.051,0.0001953,10578563.5441057
BSBUSDT,-6.973,0.1426100,12555321.5682100
JCTUSDT,-6.56,0.0036750,3373249.2439750
HUMAUSDT,-6.098,0.0207880,4351689.1622000
ACEUSDT,-6.013,0.122700,51570005.805383
SLXUSDT,-6.001,0.0764400,11233730.0821000
GIGADEVUSDT,-5.399,63.60000,3994360.22470
OGUSDT,-5.361,2.648000,1044301.210000
SOLVUSDT,-5.265,0.0024830,7630663.2497470
FORMUSDT,-5.176,0.218000,9891515.465480
TOWNSUSDT,-5.077,0.0024680,3748597.0134700
ALGOUSDT,-5.056,0.082430,12431367.981917
SYNUSDT,-4.797,0.1032000,7301134.4587100
SOMIUSDT,-4.607,0.0911000,1885666.7046000
NAORISUSDT,-4.592,0.0320000,3721162.4236500
ATUSDT,-4.516,0.1459000,905260.1236400
GIGGLEUSDT,-4.349,33.65000,19080917.90860
CARVUSDT,-4.178,0.0309600,1510835.3856900
TRADOORUSDT,-4.167,0.6187000,7643974.3666000
MINIMAXUSDT,-4.158,41.26000,32796828.55910
KOMAUSDT,-4.148,0.0134010,5671005.3964330
EVAAUSDT,-4.104,0.852900,2491071.763950
FOLKSUSDT,-3.959,1.795000,2229622.116600
UBUSDT,-3.947,0.1333700,14866620.3960200
AINUSDT,-3.943,0.0733300,1386315.8476000
IRYSUSDT,-3.899,0.0155300,1191472.4285700
KAITOUSDT,-3.877,0.662000,97970546.667780
ROBOUSDT,-3.873,0.0136500,2316327.7943700
