symbol,change,price,volume
BMTUSDT,-14.3114,0.0334100,622742205.4822300
CAPUSDT,-12.579,0.0470500,62435930.4187500
COAIUSDT,-9.4702,0.3862000,13369374.5104000
ESPUSDT,-6.9427,0.0750600,39761394.2080700
THEUSDT,-5.9706,0.0626800,36486895.0393490
DIAUSDT,-4.9307,0.1234000,3066593.8003000
PUMPUSDT,-4.0014,0.0027350,170741251.9293520
OPENUSDT,-3.1825,0.1947000,3019811.5042000
1000RATSUSDT,-3.1822,0.0444200,6694521.8964100
RIFUSDT,-3.1819,0.0690700,9309042.5738800
CYSUSDT,-3.1111,0.9125000,177464733.9107000
BANANAS31USDT,-3.1003,0.0084700,34762070.1206530
XANUSDT,-2.3044,0.0128460,97597759.8793900
C98USDT,-2.0292,0.0154500,15077384.8187900
PARTIUSDT,-1.9399,0.0257800,8597711.2104000
MUBARAKUSDT,-1.9324,0.0203000,220242316.1600800
HEIUSDT,-1.8623,0.148080,47790629.868354
ARCUSDT,-1.819,0.0647700,12619168.4512300
SOXSUSDT,-1.7783,40.32000,49127039.35390
KAITOUSDT,-1.7513,0.662000,97970546.667780
PTBUSDT,-1.679,0.0009135,9042348.4778817
CETUSUSDT,-1.5674,0.0188400,3662927.1877100
OPGUSDT,-1.5609,0.0946000,1783417.3926000
PLTRUSDT,-1.52,169.75000,11441685.07200
PYTHUSDT,-1.4432,0.0423400,3866819.1690500
EULUSDT,-1.4166,1.210900,11297079.625720
AGTUSDT,-1.312,0.0141410,3598836.0438100
LITUSDT,-1.2573,2.285400,17144160.807040
1000SATSUSDT,-1.1971,0.00001073,3555438.40561152
MORPHOUSDT,-1.1589,1.9361000,3686330.1785200
FHEUSDT,-1.1494,0.0266600,10043351.0638300
TUTUSDT,-1.1424,0.1687500,1578397379.8479300
FORMUSDT,-1.1338,0.218000,9891515.465480
HAEDALUSDT,-1.1163,0.0168300,3132879.8551700
ORDIUSDT,-1.0998,3.507000,10755028.858800
XPDUSDT,-1.0796,1367.9800,2564018.2543
NOWUSDT,-1.0659,124.38000,1234234.49790
AIAUSDT,-1.0453,0.0681600,2307124.6662800
BUSDT,-1.0388,0.1429000,2955889.8629000
B2USDT,-1.0111,0.4797000,1107255.8215000
SHELLUSDT,-0.9547,0.0207500,23008490.2335900
COMPUSDT,-0.9518,16.65,922458.10
SNOWUSDT,-0.9513,331.10000,405024.13150
XPINUSDT,-0.9159,0.0017310,11339675.0696060
HEMIUSDT,-0.9099,0.0054450,4631830.8139660
BSBUSDT,-0.9033,0.1426100,12555321.5682100
BROCCOLIF3BUSDT,-0.9024,0.0066990,4875455.6711640
RECALLUSDT,-0.8927,0.0477400,2488085.2089600
POWERUSDT,-0.8794,0.0958100,4411830.5579000
SENTUSDT,-0.8791,0.0135300,1379794.2418100
